Country Name,2023
Afghanistan,294.601
Angola,677.008
Albania,76.737
United Arab Emirates,2.678.232
Argentina,3.656.846
Armenia,108.363
Australia,5.718.398
Austria,729.215
Azerbaijan,625.503
Burundi,70.491
Belgium,1.063.702
Benin,166.995
Burkina Faso,344.568
Bangladesh,2.813.805
Bulgaria,533.723
Bahrain,637.339
Bahamas,19.575
Bosnia and Herzegovina,29.398
Belarus,842.776
Bolivia,551.857
Brazil,13.001.689
Brunei Darussalam,121.579
Bhutan,32.549
Botswana,127.128
Central African Republic,125.026
Canada,747.678
Switzerland,434.464
Channel Islands,
Chile,1.214.631
China,159.439.866
Cote d'Ivoire,32.184
Cameroon,393.772
Congo,555.896
Congo,23.727
Colombia,2.239.666
Cabo Verde,12.315
Costa Rica,164.681
Cuba,394.003
Cyprus,103.247
Czechia,1.144.384
Germany,6.818.103
Djibouti,21.324
Denmark,418.315
Dominican Republic,483.962
Algeria,2.567.921
Ecuador,736.046
Egypt,3.333.439
Eritrea,64.018
Spain,2.853.839
Estonia,14.364
Ethiopia,1.700.339
Finland,434.535
Fiji,3.401
France,3.855.201
Gabon,214.021
United Kingdom,3.793.186
Georgia,190.492
Ghana,482.659
Guinea,286.347
Gambia,19.183
Guinea-Bissau,29.975
Equatorial Guinea,69.821
Greece,69.266
Guatemala,439.811
Guyana,8.191
Hong Kong SAR,380.263
Honduras,229.201
Croatia,250.135
Haiti,13.657
Hungary,609.268
Indonesia,12.001.998
India,41.335.544
Ireland,578.533
Iran,9.604.943
Iraq,3.627.848
Iceland,41.719
Israel,795.782
Italy,3.741.242
Jamaica,81.629
Jordan,334.077
Japan,10.410.128
Kazakhstan,320.35
Kenya,1.079.769
Kyrgyz Republic,216.982
Cambodia,487.748
Korea,6.683.249
Kuwait,1.679.158
Lao PDR,420.562
Lebanon,246.723
Liberia,45.324
Libya,959.298
Liechtenstein,
Sri Lanka,384.038
Lesotho,26.019
Lithuania,206.837
Luxembourg,78.609
Latvia,109.575
Macao SAR,30.251
Morocco,1.066.022
Moldova,135.424
Madagascar,331.508
Maldives,3.088
Mexico,7.121.021
North Macedonia,11.37
Mali,454.631
Malta,20.339
Myanmar,1.150.773
Mongolia,837.046
Mozambique,33.954
Mauritania,165.093
Mauritius,61.987
Malawi,197.141
Malaysia,3.254.058
Namibia,128.857
New Caledonia,66.142
Niger,423.341
Nigeria,3.851.129
Nicaragua,206.283
Netherlands,1.507.458
Norway,567.171
Nepal,56.831
New Zealand,842.098
Oman,127.443
Pakistan,5.323.745
Panama,212.817
Peru,940.487
Philippines,2.561.472
Palau,15.017
Papua New Guinea,9.641
Poland,3.637.942
Puerto Rico,16.064
Korea,856.923
Portugal,530.046
Paraguay,416.246
West Bank and Gaza,
French Polynesia,13.746
Qatar,1.543.836
Romania,1.058.524
Russian Federation,26.720.394
Rwanda,74.933
Saudi Arabia,8.051.581
Sudan,1.387.416
Senegal,288.437
Singapore,742.901
Sierra Leone,69.377
El Salvador,130.513
San Marino,
Somalia,324.999
Serbia,
South Sudan,
Suriname,37.377
Slovak Republic,447.756
Slovenia,159.935
Sweden,491.184
Eswatini,32.896
Seychelles,13.387
Syrian Arab Republic,412.106
Chad,953.773
Togo,106.129
Thailand,440.783
Tajikistan,214.381
Turkmenistan,987.941
Timor-Leste,20.072
Trinidad and Tobago,34.187
Tunisia,435.785
Turkiye,6.064.299
Tanzania,898.154
Uganda,53.371
Ukraine,2.160.928
Uruguay,416.341
United States,59.608.044
Uzbekistan,2.145.314
Venezuela,143.914
Viet Nam,5.241.335
Yemen,33.175
South Africa,5.221.155
Zambia,304.844
Zimbabwe,310.193
